Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS24X12X.750,HSS24X12X3/4,F,171.16,47.1,–,–,24.0,21.9,–,–,–,12.0,9.91,–,–,–,–,–,–,–,0.750,0.698,–,–,–,–,–,–,–,–,–,–,14.2,–,31.4,–,3440,359,287,8.55,1170,221,195,4.98,–,–,–,2850,–,366,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS609.6X304.8X19,HSS609.6X304.8X19,255,30400,–,–,610,556,–,–,–,305,252,–,–,–,–,–,–,–,19.1,17.7,–,–,–,–,–,–,–,–,–,–,14.2,–,31.4,–,1430,5880,4700,217,487,3620,3200,126,–,–,–,1190000,–,6000,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS24X12X.625,HSS24X12X5/8,F,144.39,39.6,–,–,24.0,22.3,–,–,–,12.0,10.3,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,17.7,–,38.4,–,2940,304,245,8.62,1000,188,167,5.03,–,–,–,2430,–,310,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS609.6X304.8X15.9,HSS609.6X304.8X15.9,215,25500,–,–,610,566,–,–,–,305,262,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,17.7,–,38.4,–,1220,4980,4020,219,416,3080,2740,128,–,–,–,1010000,–,5080,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS24X12X.500,HSS24X12X1/2,F,116.91,32.1,–,–,24.0,22.6,–,–,–,12.0,10.6,–,–,–,–,–,–,–,0.500,0.465,–,–,–,–,–,–,–,–,–,–,22.8,–,48.6,–,2420,248,202,8.68,829,154,138,5.08,–,–,–,1980,–,252,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS609.6X304.8X12.7,HSS609.6X304.8X12.7,174,20700,–,–,610,574,–,–,–,305,269,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,22.8,–,48.6,–,1010,4060,3310,220,345,2520,2260,129,–,–,–,824000,–,4130,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS22X22X.875,HSS22X22X7/8,F,244.88,67.3,–,–,22.0,19.6,–,–,–,22.0,19.6,–,–,–,–,–,–,–,0.875,0.814,–,–,–,–,–,–,–,–,–,–,24.1,–,24.1,–,4970,530,452,8.59,4970,530,452,8.59,–,–,–,7890,–,729,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS558.8X558.8X22.2,HSS558.8X558.8X22.2,364,43400,–,–,559,498,–,–,–,559,498,–,–,–,–,–,–,–,22.2,20.7,–,–,–,–,–,–,–,–,–,–,24.1,–,24.1,–,2070,8690,7410,218,2070,8690,7410,218,–,–,–,3280000,–,11900,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS22X22X.750,HSS22X22X3/4,F,212.00,58.2,–,–,22.0,19.9,–,–,–,22.0,19.9,–,–,–,–,–,–,–,0.750,0.698,–,–,–,–,–,–,–,–,–,–,28.5,–,28.5,–,4350,462,395,8.65,4350,462,395,8.65,–,–,–,6860,–,632,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS558.8X558.8X19,HSS558.8X558.8X19,315,37600,–,–,559,505,–,–,–,559,505,–,–,–,–,–,–,–,19.1,17.7,–,–,–,–,–,–,–,–,–,–,28.5,–,28.5,–,1810,7570,6470,220,1810,7570,6470,220,–,–,–,2860000,–,10400,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS20X20X.875,HSS20X20X7/8,F,221.06,60.8,–,–,20.0,17.6,–,–,–,20.0,17.6,–,–,–,–,–,–,–,0.875,0.814,–,–,–,–,–,–,–,–,–,–,21.6,–,21.6,–,3670,433,367,7.77,3670,433,367,7.77,–,–,–,5870,–,597,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS508X508X22.2,HSS508X508X22.2,329,39200,–,–,508,447,–,–,–,508,447,–,–,–,–,–,–,–,22.2,20.7,–,–,–,–,–,–,–,–,–,–,21.6,–,21.6,–,1530,7100,6020,197,1530,7100,6020,197,–,–,–,2440000,–,9780,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS20X20X.750,HSS20X20X3/4,F,191.58,52.6,–,–,20.0,17.9,–,–,–,20.0,17.9,–,–,–,–,–,–,–,0.750,0.698,–,–,–,–,–,–,–,–,–,–,25.6,–,25.6,–,3230,378,323,7.84,3230,378,323,7.84,–,–,–,5110,–,519,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS508X508X19,HSS508X508X19,285,33900,–,–,508,455,–,–,–,508,455,–,–,–,–,–,–,–,19.1,17.7,–,–,–,–,–,–,–,–,–,–,25.6,–,25.6,–,1340,6200,5290,199,1340,6200,5290,199,–,–,–,2130000,–,8510,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS20X20X.625,HSS20X20X5/8,F,161.40,44.3,–,–,20.0,18.3,–,–,–,20.0,18.3,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,31.5,–,31.5,–,2750,320,275,7.88,2750,320,275,7.88,–,–,–,4320,–,437,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS508X508X15.9,HSS508X508X15.9,240,28600,–,–,508,465,–,–,–,508,465,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,31.5,–,31.5,–,1140,5240,4510,200,1140,5240,4510,200,–,–,–,1800000,–,7160,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS20X20X.500,HSS20X20X1/2,F,130.52,35.8,–,–,20.0,18.6,–,–,–,20.0,18.6,–,–,–,–,–,–,–,0.500,0.465,–,–,–,–,–,–,–,–,–,–,40.0,–,40.0,–,2260,261,226,7.95,2260,261,226,7.95,–,–,–,3510,–,355,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS508X508X12.7,HSS508X508X12.7,194,23100,–,–,508,472,–,–,–,508,472,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,40.0,–,40.0,–,941,4280,3700,202,941,4280,3700,202,–,–,–,1460000,–,5820,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS20X12X.750,HSS20X12X3/4,F,150.75,41.5,–,–,20.0,17.9,–,–,–,12.0,9.91,–,–,–,–,–,–,–,0.750,0.698,–,–,–,–,–,–,–,–,–,–,14.2,–,25.6,–,2190,270,219,7.26,988,190,165,4.88,–,–,–,2220,–,303,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS508X304.8X19,HSS508X304.8X19,224,26800,–,–,508,455,–,–,–,305,252,–,–,–,–,–,–,–,19.1,17.7,–,–,–,–,–,–,–,–,–,–,14.2,–,25.6,–,911,4430,3590,184,411,3110,2700,124,–,–,–,924000,–,4970,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
