Name ,A,d,tw,tw/2,bf,tf,kdes,kdet,k1,lbf,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,rts,ho,J,Cw
W44X335,98.5,44,1.03,0.515,15.9,1.77,2.56,3,1  3/4 ,335,31100,1410,17.8,1620,1200,150,3.49,236,4.24,42.2,74.7,535000
W44X290,85.4,43.6,0.865,0.4325,15.8,1.58,2.36,2 13/16,1  5/8 ,290,27000,1240,17.8,1410,1040,132,3.49,205,4.2,42,50.9,461000
W44X262,77.2,43.3,0.785,0.3925,15.8,1.42,2.2,2  5/8 ,1  5/8 ,262,24100,1110,17.7,1270,923,117,3.47,182,4.17,41.9,37.3,405000
W44X230,67.8,42.9,0.71,0.355,15.8,1.22,2.01,2  7/16,1  9/16,230,20800,971,17.5,1100,796,101,3.43,157,4.13,41.7,24.9,346000
W40X655,193,43.6,1.97,0.985,16.9,3.54,4.72,4 13/16,2  3/16,655,56500,2590,17.1,3080,2870,340,3.86,542,4.71,40.1,589,1150000
W40X593,174,43,1.79,0.895,16.7,3.23,4.41,4  1/2 ,2  1/8 ,593,50400,2340,17,2760,2520,302,3.8,481,4.63,39.8,445,997000
W40X503,148,42.1,1.54,0.77,16.4,2.76,3.94,4,2,503,41600,1980,16.8,2320,2040,249,3.72,394,4.5,39.3,277,789000
W40X431,127,41.3,1.34,0.67,16.2,2.36,3.54,3  5/8 ,1  7/8 ,431,34800,1690,16.6,1960,1690,208,3.65,328,4.41,38.9,177,638000
W40X397,117,41,1.22,0.61,16.1,2.2,3.38,3  1/2 ,1 13/16,397,32000,1560,16.6,1800,1540,191,3.64,300,4.38,38.8,142,579000
W40X372,110,40.6,1.16,0.58,16.1,2.05,3.23,3  5/16,1 13/16,372,29600,1460,16.5,1680,1420,177,3.6,277,4.33,38.6,116,528000
W40X362,106,40.6,1.12,0.56,16,2.01,3.19,3  1/4 ,1  3/4 ,362,28900,1420,16.5,1640,1380,173,3.6,270,4.33,38.6,109,513000
W40X324,95.3,40.2,1,0.5,15.9,1.81,2.99,3  1/16,1 11/16,324,25600,1280,16.4,1460,1220,153,3.58,239,4.27,38.4,79.4,448000
W40X297,87.3,39.8,0.93,0.465,15.8,1.65,2.83,2 15/16,1 11/16,297,23200,1170,16.3,1330,1090,138,3.54,215,4.22,38.2,61.2,399000
W40X277,81.5,39.7,0.83,0.415,15.8,1.58,2.76,2  7/8 ,1  5/8 ,277,21900,1100,16.4,1250,1040,132,3.58,204,4.25,38.1,51.5,379000
W40X249,73.5,39.4,0.75,0.375,15.8,1.42,2.6,2 11/16,1  9/16,249,19600,993,16.3,1120,926,118,3.55,182,4.21,38,38.1,334000
W40X215,63.5,39,0.65,0.325,15.8,1.22,2.4,2  1/2 ,1  9/16,215,16700,859,16.2,964,803,101,3.54,156,4.19,37.8,24.8,284000
W40X199,58.8,38.7,0.65,0.325,15.8,1.07,2.25,2  5/16,1  9/16,199,14900,770,16,869,695,88.2,3.45,137,4.12,37.6,18.3,246000
W40X392,116,41.6,1.42,0.71,12.4,2.52,3.7,3 13/16,1 15/16,392,29900,1440,16.1,1710,803,130,2.64,212,3.3,39.1,172,306000
W40X331,97.7,40.8,1.22,0.61,12.2,2.13,3.31,3  3/8 ,1 13/16,331,24700,1210,15.9,1430,644,106,2.57,172,3.21,38.7,105,241000
W40X327,95.9,40.8,1.18,0.59,12.1,2.13,3.31,3  3/8 ,1 13/16,327,24500,1200,16,1410,640,105,2.58,170,3.21,38.7,103,239000
W40X294,86.2,40.4,1.06,0.53,12,1.93,3.11,3  3/16,1  3/4 ,294,21900,1080,15.9,1270,562,93.5,2.55,150,3.16,38.5,76.6,208000
W40X278,82.3,40.2,1.03,0.515,12,1.81,2.99,3  1/16,1  3/4 ,278,20500,1020,15.8,1190,521,87.1,2.52,140,3.13,38.4,65,192000
W40X264,77.4,40,0.96,0.48,11.9,1.73,2.91,3,1 11/16,264,19400,971,15.8,1130,493,82.6,2.52,132,3.12,38.3,56.1,181000
W40X235,69.1,39.7,0.83,0.415,11.9,1.58,2.76,2  7/8 ,1  5/8 ,235,17400,875,15.9,1010,444,74.6,2.54,118,3.11,38.1,41.3,161000
W40X211,62.1,39.4,0.75,0.375,11.8,1.42,2.6,2 11/16,1  9/16,211,15500,786,15.8,906,390,66.1,2.51,105,3.07,38,30.4,141000
W40X183,53.3,39,0.65,0.325,11.8,1.2,2.38,2  1/2 ,1  9/16,183,13200,675,15.7,774,331,56,2.49,88.3,3.04,37.8,19.3,118000
W40X167,49.3,38.6,0.65,0.325,11.8,1.03,2.21,2  5/16,1  9/16,167,11600,600,15.3,693,283,47.9,2.4,76,2.98,37.6,14,99700
W40X149,43.8,38.2,0.63,0.315,11.8,0.83,2.01,2  1/8 ,1  1/2 ,149,9800,513,15,598,229,38.8,2.29,62.2,2.89,37.4,9.36,80000
W36X925,272,43.1,3.02,1.51,18.6,4.53,5.28,5  3/8 ,2  5/16,925,73000,3390,16.4,4130,4940,531,4.26,862,5.3,38.6,1430,1840000
W36X853,251,43.1,2.52,1.26,18.2,4.53,5.28,5  3/8 ,2  1/16,853,70000,3250,16.7,3920,4600,505,4.28,805,5.22,38.6,1240,1710000
W36X802,236,42.6,2.38,1.19,18,4.29,5.04,5  1/8 ,2,802,64800,3040,16.6,3660,4210,468,4.22,744,5.15,38.3,1050,1540000
W36X723,213,41.8,2.17,1.085,17.8,3.9,4.65,4 11/16,1  7/8 ,723,57300,2740,16.4,3270,3700,416,4.17,658,5.06,37.9,785,1330000
W36X652,192,41.1,1.97,0.985,17.6,3.54,4.49,4 13/16,2  3/16,652,50600,2460,16.2,2910,3230,367,4.1,581,4.96,37.6,593,1130000
W36X529,156,39.8,1.61,0.805,17.2,2.91,3.86,4  3/16,2,529,39600,1990,16,2330,2490,289,4,454,4.8,36.9,327,846000
W36X487,143,39.3,1.5,0.75,17.1,2.68,3.63,4,1  7/8 ,487,36000,1830,15.8,2130,2250,263,3.96,412,4.74,36.6,258,754000
W36X441,130,38.9,1.36,0.68,17,2.44,3.39,3  3/4 ,1  7/8 ,441,32100,1650,15.7,1910,1990,235,3.92,368,4.69,36.5,194,661000
W36X395,116,38.4,1.22,0.61,16.8,2.2,3.15,3  7/16,1 13/16,395,28500,1490,15.7,1710,1750,208,3.88,325,4.61,36.2,142,575000
W36X361,106,38,1.12,0.56,16.7,2.01,2.96,3  5/16,1  3/4 ,361,25700,1350,15.6,1550,1570,188,3.85,293,4.58,36,109,509000
W36X330,96.9,37.7,1.02,0.51,16.6,1.85,2.8,3  1/8 ,1  3/4 ,330,23300,1240,15.5,1410,1420,171,3.83,265,4.53,35.9,84.3,456000
W36X302,89,37.3,0.945,0.4725,16.7,1.68,2.63,3,1 11/16,302,21100,1130,15.4,1280,1300,156,3.82,241,4.53,35.6,64.3,412000
W36X282,82.9,37.1,0.885,0.4425,16.6,1.57,2.52,2  7/8 ,1  5/8 ,282,19600,1050,15.4,1190,1200,144,3.8,223,4.5,35.5,52.7,378000
W36X262,77.2,36.9,0.84,0.42,16.6,1.44,2.39,2  3/4 ,1  5/8 ,262,17900,972,15.3,1100,1090,132,3.76,204,4.46,35.5,41.6,342000
W36X247,72.5,36.7,0.8,0.4,16.5,1.35,2.3,2  5/8 ,1  5/8 ,247,16700,913,15.2,1030,1010,123,3.74,190,4.42,35.4,34.7,316000
W36X231,68.2,36.5,0.76,0.38,16.5,1.26,2.21,2  9/16,1  9/16,231,15600,854,15.1,963,940,114,3.71,176,4.4,35.2,28.7,292000
W36X256,75.3,37.4,0.96,0.48,12.2,1.73,2.48,2 15/16,1 11/16,256,16800,895,14.9,1040,528,86.5,2.65,137,3.24,35.7,52.9,168000
W36X232,68,37.1,0.87,0.435,12.1,1.57,2.32,2 13/16,1  5/8 ,232,15000,809,14.8,936,468,77.2,2.62,122,3.21,35.5,39.6,148000
W36X210,61.9,36.7,0.83,0.415,12.2,1.36,2.11,2  5/8 ,1  5/8 ,210,13200,719,14.6,833,411,67.5,2.58,107,3.18,35.3,28,128000
W36X194,57,36.5,0.765,0.3825,12.1,1.26,2.01,2  1/2 ,1  9/16,194,12100,664,14.6,767,375,61.9,2.56,97.7,3.15,35.2,22.2,116000
W36X182,53.6,36.3,0.725,0.3625,12.1,1.18,1.93,2  3/8 ,1  9/16,182,11300,623,14.5,718,347,57.6,2.55,90.7,3.13,35.1,18.5,107000
W36X170,50,36.2,0.68,0.34,12,1.1,1.85,2  3/8 ,1  9/16,170,10500,581,14.5,668,320,53.2,2.53,83.8,3.11,35.1,15.1,98500
W36X160,47,36,0.65,0.325,12,1.02,1.77,2  1/4 ,1  9/16,160,9760,542,14.4,624,295,49.1,2.5,77.3,3.09,35,12.4,90200
W36X150,44.3,35.9,0.625,0.3125,12,0.94,1.69,2  3/16,1  1/2 ,150,9040,504,14.3,581,270,45.1,2.47,70.9,3.06,35,10.1,82200
